id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano
1620416928,4616c951-639c-3e77-8672-92f1aa48425f,-11.37973,-37.79243,2023-02-16 16:20:00,Brasil,SERGIPE,TOMAR DO GERU,Mata Atlântica,2023
1658777861,7f4fd502-fa46-3d6b-8462-7ad2d9cfb788,-11.16035,-37.23978,2023-10-29 16:20:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1659405829,fc7813e6-d32b-34cb-b9a6-4269e537eedc,-10.84925,-37.40019,2023-11-03 16:33:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1659405830,b95aa67f-ffc9-3096-9afb-8947e8db1224,-10.84794,-37.39117,2023-11-03 16:33:00,Brasil,SERGIPE,AREIA BRANCA,Mata Atlântica,2023
1659405831,31e2a219-121a-3f31-a815-ad88c618d866,-11.04173,-37.19534,2023-11-03 16:33:00,Brasil,SERGIPE,SÃO CRISTÓVÃO,Mata Atlântica,2023
1659670992,e7901b16-e771-366c-9e0b-03f1b060d779,-9.86072,-37.37403,2023-11-05 16:17:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1659671074,6afd47d5-1ed9-3a30-8909-05ccaad70612,-11.18388,-37.26969,2023-11-05 16:17:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1659671075,437b1185-edf1-316c-980a-291a2453aa7a,-11.17347,-37.2711,2023-11-05 16:17:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1661152958,4111f5f4-369b-3a92-8b1f-780d3735a32d,-9.85671,-37.36493,2023-11-15 16:39:00,Brasil,SERGIPE,PORTO DA FOLHA,Caatinga,2023
1661988423,15613426-10ac-377f-a3fd-7e5949bdda3a,-11.29682,-37.37099,2023-11-21 15:54:00,Brasil,SERGIPE,ESTÂNCIA,Mata Atlântica,2023
1662075568,6413d283-c266-3da4-8476-1759c28f9d5a,-11.44363,-37.42297,2023-11-22 16:34:00,Brasil,SERGIPE,INDIAROBA,Mata Atlântica,2023
1662238575,b081b42a-742c-3579-9563-2cb69a3e4714,-11.20537,-37.38933,2023-11-24 16:20:00,Brasil,SERGIPE,ESTÂNCIA,Mata Atlântica,2023
1662238577,a4634a26-1983-3cd1-b7f5-5d1cd171bc6f,-11.06204,-37.99691,2023-11-24 16:20:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1662238578,3d3e66b5-c1b7-3a43-a38b-3089f9959a8b,-11.06037,-37.98428,2023-11-24 16:20:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1662238579,5f508339-4583-334c-b68a-47180d551aef,-10.804,-37.21565,2023-11-24 16:20:00,Brasil,SERGIPE,LARANJEIRAS,Mata Atlântica,2023
1662238580,0317a9ab-bd65-3894-94d8-ea4c51b96125,-10.77658,-37.31033,2023-11-24 16:20:00,Brasil,SERGIPE,AREIA BRANCA,Mata Atlântica,2023
1662602971,bd3c4207-61e8-3228-aed5-20148bee0f5f,-11.06205,-37.89626,2023-11-29 16:32:00,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,2023
1662602972,557d2c85-8c54-35f6-8849-cc0c53d778e6,-10.9707,-37.19381,2023-11-29 16:32:00,Brasil,SERGIPE,SÃO CRISTÓVÃO,Mata Atlântica,2023
1662602973,bcb13b21-c6a5-3e66-bcbd-bc7cb2c08bb8,-10.95496,-37.78638,2023-11-29 16:32:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1662602974,a50143eb-3d49-3f3f-acd5-c6fbcb4f213d,-10.95366,-37.77724,2023-11-29 16:32:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1662602975,aaefebd0-4b02-3738-bed5-00ad8094a638,-10.94402,-37.51786,2023-11-29 16:32:00,Brasil,SERGIPE,LAGARTO,Mata Atlântica,2023
1662602976,d1ad2706-2bb0-3ee8-a70f-767fc1f56740,-10.84415,-37.59489,2023-11-29 16:32:00,Brasil,SERGIPE,LAGARTO,Caatinga,2023
1662602977,3518b7a4-dbd1-33a6-ad4e-a7279cdc95e9,-10.71896,-37.04135,2023-11-29 16:32:00,Brasil,SERGIPE,ROSÁRIO DO CATETE,Mata Atlântica,2023
1662602978,95fb1952-87b4-3ac7-a214-3aa2630f4898,-10.71765,-37.03234,2023-11-29 16:32:00,Brasil,SERGIPE,ROSÁRIO DO CATETE,Mata Atlântica,2023
1662602981,595a2cbb-0f79-326e-a51a-e9e67e131e73,-10.46183,-36.79421,2023-11-29 16:32:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1662602982,be052b8d-3036-3a70-b769-411d2bce9493,-10.46052,-36.78519,2023-11-29 16:32:00,Brasil,SERGIPE,JAPOATÃ,Mata Atlântica,2023
1662602985,0cf7df6f-2348-3f2b-96e4-706afde9aa5d,-10.05985,-37.71039,2023-11-29 16:32:00,Brasil,SERGIPE,MONTE ALEGRE DE SERGIPE,Caatinga,2023
1663035730,bd0c0047-ec76-315b-b3c4-4263027221f6,-10.95442,-37.26686,2023-12-04 16:41:00,Brasil,SERGIPE,SÃO CRISTÓVÃO,Mata Atlântica,2023
1663230218,449aab02-bad8-3156-8d50-d2e1f27df661,-11.15304,-37.20278,2023-12-06 16:26:00,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlântica,2023
1663464246,ca8a24d2-f077-389b-8191-2d9302de4e84,-10.28651,-37.18093,2023-12-08 16:11:00,Brasil,SERGIPE,GRACHO CARDOSO,Mata Atlântica,2023
1663464247,c7d0c58f-bab6-3925-a547-a8c5eb6a2d1d,-10.28378,-37.17429,2023-12-08 16:11:00,Brasil,SERGIPE,GRACHO CARDOSO,Mata Atlântica,2023
1663773105,e701f9c7-451d-3bc9-b03a-1cf4cb834a0f,-10.29174,-36.75793,2023-12-11 16:39:00,Brasil,SERGIPE,NEÓPOLIS,Mata Atlântica,2023
1664004969,1203e6ef-0ecc-300c-ade1-0e61e684e88e,-10.56935,-37.21868,2023-12-13 16:24:00,Brasil,SERGIPE,NOSSA SENHORA DAS DORES,Mata Atlântica,2023
1664004970,16017554-f3c3-3846-9ae3-04713f36f305,-10.56787,-37.20801,2023-12-13 16:24:00,Brasil,SERGIPE,NOSSA SENHORA DAS DORES,Mata Atlântica,2023
1664004971,5eecad0c-0ec1-323f-a7db-6bbcb1e73733,-10.43451,-37.64794,2023-12-13 16:24:00,Brasil,SERGIPE,CARIRA,Caatinga,2023
1664004973,159b017c-d29d-350a-a2bd-bc12a1c35237,-10.43299,-37.63677,2023-12-13 16:24:00,Brasil,SERGIPE,FREI PAULO,Caatinga,2023
1664004974,1c23acb6-b254-3c33-8810-f998989ce660,-10.42617,-37.66049,2023-12-13 16:24:00,Brasil,SERGIPE,CARIRA,Caatinga,2023
1664004975,10288173-067d-3579-b2fc-c5c7c07b185f,-10.42465,-37.64933,2023-12-13 16:24:00,Brasil,SERGIPE,CARIRA,Caatinga,2023
